film_id,title,description,language_id,length,rating,special_features,category_id
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,1,86,PG,"Deleted Scenes,Behind the Scenes",6
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,1,86,PG,"Deleted Scenes,Behind the Scenes",6
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,1,86,PG,"Deleted Scenes,Behind the Scenes",6
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,1,86,PG,"Deleted Scenes,Behind the Scenes",6
2,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,1,48,G,"Trailers,Deleted Scenes",11
3,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,1,50,NC-17,"Trailers,Deleted Scenes",6
3,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,1,50,NC-17,"Trailers,Deleted Scenes",6
3,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,1,50,NC-17,"Trailers,Deleted Scenes",6
6,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,1,169,PG,Deleted Scenes,9
6,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,1,169,PG,Deleted Scenes,9
9,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,1,114,PG-13,"Trailers,Deleted Scenes",11
9,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,1,114,PG-13,"Trailers,Deleted Scenes",11
